Sample_ID,Plot_ID,Site_ID,Date,Treatment,Subplot,Patch,Elevation,Precip_mm,Temp_C,ANPP,Surf_R,Crust_R,Crust_Rcode,Crust_b,Crust_S,Crypt_Cov,Crypt_CovCode,Erosion_cov,Deposited_Cov,Foliage_cov,Basal_cov,Litter _cov,Litter_class,litter_origin,Litter_inc,Litter_dpth,Litter_complex,Texture,Plant_R,Stability_ind,Infiltration_ind,Nutrient_ind,Foliage_Cover_<0.5,Logs_<0.5,Compost,Rock,Bare_soil,Fol_cov_Shrub_>0.5m ,FC_Tree>0.5m high,FC_ Other_ >0.5m ,dist_Tree,Bare_rock,Foliage_Cov_all,MIR_HUM,MIR_POC,MIR_ROC,MIR_TOC,MIR_TN,MIR_C_N,P_mg_Kg,pH,EC _microS_cm,Total_PLFA,Gram_pos_bact_comm,Gram_neg_baterial_comm,General_bacteria_comm,Actinobacteria_comm,Fungi_comm,Protozoa_comm,arbuscular_myc_comm,Fungi_Bact,Litter_totalwt,Sticks_bark,Leaves_treeshrubs,Leaves_und,Coarse_frass,Fine_frass,Seed_fruits_gms,Richness_reprod,Abund_fruits,Abundance_inverts,Invert_richness,abund_inver_m3,invert_R_m3,AB,BG,CB,N/AG,PHO,XYL,LAP,well_wieght,Ala,Ara,Arg,Asp,Mal,Raf,Suc,H2O,Xyl,reads.fungi,obs_richness_fungi,chao1_richness_fungi,obs_shannon_fungi,obs_richness_fungi_ArbuscularMycorrhizal,obs_richness_fungi_Ectomycorrhizal,obs_richness_fungi_OrchidMycorrhizal,obs_richness_fungi_PlantPathogen,obs_richness_fungi_WoodSaprotroph,chao1_richness_fungi_ArbuscularMycorrhizal,chao1_richness_fungi_Ectomycorrhizal,chao1_richness_fungi_OrchidMycorrhizal,chao1_richness_fungi_PlantPathogen,chao1_richness_fungi_WoodSaprotroph,obs_shannon_fungi_ArbuscularMycorrhizal,obs_shannon_fungi_Ectomycorrhizal,obs_shannon_fungi_OrchidMycorrhizal,obs_shannon_fungi_PlantPathogen,obs_shannon_fungi_WoodSaprotroph,relabund_fungi_ArbuscularMycorrhizal,relabund_fungi_Ectomycorrhizal,relabund_fungi_OrchidMycorrhizal,relabund_fungi_PlantPathogen,relabund_fungi_WoodSaprotroph,reads.bacteria,obs_richness_bacteria,chao1_richness_bacteria,obs_shannon_bacteria,obs_richness_bacteria_copiotrophic,obs_richness_bacteria_oligotrophic,chao1_richness_bacteria_copiotrophic,chao1_richness_bacteria_oligotrophic,obs_shannon_bacteria_copiotrophic,obs_shannon_bacteria_oligotrophic,relabund_bacteria_copiotrophic,relabund_bacteria_oligotrophic,moisture_%
551BO,551,Tailrace,19.02.19,Rehab,B,O,560,933.23,11.95,469.59,3,3,3.33,3,3,20,3,4,4,2,1,40,3,1,1.3,14,3.9,3,4,63.29326923,32.14552239,25.34883721,10,0,0,25,5,0,0,0,1.6,30,0,0.7,0.4,0.39,2,0.197595701,10.12167769,11.74444088,6.45,62.5,11.84364787,1.97734716,2.725190915,1.817062687,1.024082096,0.305036314,0.250766353,0.445999243,0.055077876,73,11.5,10,7,8,7,0.3,1,3,1,1,4,4,184.7,1545.1,445.7,532.6,15.2,1225.8,11.6,0.329895833,0.547760037,0.634587681,0.616203205,0.608127,0.684035198,0.637686794,0.631305793,0.59946845,0.62776736,27531,556,659.546875,4.218727806,14,34,0,17,7,17,46,0,18.5,11.5,2.460342178,1.369264142,0,2.037674847,1.833785547,0.002006881,0.169724771,0,0.025157683,0.00100344,30300,3863,4830.393789,7.36041299,1268,801,1549.01341,989.4865772,6.300941557,5.85612655,0.358467476,0.24319872,7.26
551BT,551,Tailrace,19.02.19,Rehab,B,T,560,933.23,11.95,469.59,3,3,3.33,4,4,10,2,4,4,2,1,80,5,1.5,1.7,23,12.75,3,3,70.50480769,50.52238806,43.60465116,5,0,0,5,0,0,25,0,0,5,25,1.23,0.92,0.67,3.21,0.298659274,10.7480339,14.73023063,6.37,53.5,14.6884839,1.914967506,3.232336914,2.15315088,0.912148498,0.949013043,0.305505305,0.442077678,0.155127393,339,176,17,5,27,33,0.6,2,5,3,2,12,8,385.7,2465.1,795.2,894.1,27.9,1749.7,18.9,0.329895833,0.64881493,0.758674229,0.768018994,0.780718312,0.806924983,0.791613175,0.693767147,0.47245318,0.669767788,32410,646,795.4401709,4.585942519,17,32,1,28,10,27.66666667,56.5,1,31.375,14.5,2.467965508,1.417142918,0,2.381706671,0.210352292,0.003440367,0.102924312,0.00050172,0.013403096,0.137614679,37391,3870,5023.087604,7.220060555,1321,765,1709.08,940.528125,6.209103634,5.686329876,0.396874706,0.223242022,5.79
551CO,551,Tailrace,19.02.19,Rehab,C,O,560,933.23,11.95,469.59,3,2,6.66,4,4,72,4,4,4,2,1,10,2,1,1.3,9,2.6,3,3,73.70192308,37.79850746,24.65116279,8,0,0,10,0,0,0,0,2.5,10,0,0.83,0.53,0.44,2.21,0.194971294,11.33500197,13.28971463,6.42,32.5,27.81247152,3.754455939,6.450035959,3.75909328,1.694783789,2.735528008,0.441859963,0.758503697,0.224611545,32,7,10,2,3,4,0,0,0,0,0,0,0,95.3,880.1,397.2,562.5,10.1,620.4,8.1,0.353541667,0.437956933,0.488546945,0.423310043,0.522881391,0.522426385,0.485853204,0.486635864,0.335318204,0.457808092,30069,472,581.2266667,3.932938567,5,32,1,20,3,7,40,1,26,4,1.412744637,2.035274508,0,1.981355329,0.683738906,0.000931766,0.153741399,0.000358372,0.022577408,0.000645069,32530,3940,5058.409953,7.270184471,1348,787,1684.924825,944.4404762,6.28938327,5.514256485,0.380871693,0.271203991,6.19
551CT,551,Tailrace,19.02.19,Rehab,C,T,560,933.23,11.95,469.59,4,2,6.66,4,4,15,3,4,4,4,1,40,3,1.5,1.7,25,7.65,3,4,73.70192308,49.0858209,36.39534884,10,0,0,35,0,0,40,0,0,35,40,0.7,0.39,0.41,2.2,0.187894445,11.70870167,9.148919114,6.95,41.1,15.59116724,2.572350283,3.235114949,2.11924633,1.453744636,0.658481112,0.548806408,0.507625492,0.095038295,459,246,16,12,57,37,0.106,1,1,1,1,4,4,159.7,1079.4,259.7,510.5,29.9,681.3,6.9,0.313541667,0.538514858,0.63372857,0.669808987,0.722141308,0.661986914,0.6252962,0.518743098,0.389988659,0.571500578,27516,646,871.5210526,4.44249929,16,50,2,21,13,24,58,2,25.5,25.5,2.572853898,2.114486186,0.083649705,2.341678112,0.547097808,0.002365252,0.121057913,0.008744266,0.016986812,0.099412271,36576,3868,4881.601601,7.308403173,1070,841,1385.9,1005.097561,6.256517235,5.620876907,0.265838275,0.349712887,6.89
551DO,551,Tailrace,19.02.19,Rehab,D,O,560,933.23,11.95,469.59,2,4,1,4,4,5,2,4,4,4,2,55,4,1.5,1.7,16,10.2,3,4,64.90384615,41.41791045,37.6744186,40,0,0,0,0,0,0,0,3,0,0,0.76,0.54,0.29,2.01,0.207551042,9.684364786,14.35242974,6.14,43.2,29.88518812,4.938907833,5.442744053,4.482611507,2.01245054,1.465527337,1.10352517,1.351423933,0.114318379,127,32,9,14,14,22,0.4,2,7,0,0,0,0,35.2,255.9,61.9,56.6,132.6,50.3,160.5,0.353541667,0.543730407,0.702627212,0.784401729,0.78345031,0.79881605,0.797292377,0.66411449,0.546814089,0.683610209,17463,631,728.7552083,4.950994019,17,36,3,27,11,19.25,64.16666667,3,36,23.5,2.65716773,1.917930863,0.786701238,1.979110138,2.224228946,0.004587156,0.046875,0.001290138,0.044724771,0.001791858,47240,3932,5310.534289,7.154913317,1220,790,1656.313043,996.097561,6.197759785,5.283287546,0.3287207,0.29073708,9.08
551DT,551,Tailrace,19.02.19,Rehab,D,T,560,933.23,11.95,469.59,2,4,1,4,4,5,2,4,4,4,2,65,4,1.5,1.7,33,10.2,3,4,64.90384615,41.41791045,37.6744186,30,0,0,0,0,0,10,0,0,0,10,0.5,0.22,0.23,1.13,0.12805401,8.824401517,8.996457466,6.7,27.7,11.60470597,1.99765418,2.420067164,1.72952474,0.985506675,0.565571196,0.267129268,0.453472658,0.108002381,168,85,31,4,20,9,0.9,2,14,0,0,0,0,116.9,1043.1,223.8,468.4,8.3,860.6,6.4,0.313541667,0.482824282,0.528528132,0.522948497,0.575574875,0.581297388,0.527062102,0.486449712,0.454742528,0.441135922,33092,503,629.8175676,4.07911913,19,50,1,15,10,25.4,63.13636364,1,33,28,2.665272571,1.478547147,0,1.815674111,2.094640939,0.003440367,0.334073968,0.000788417,0.009461009,0.001433486,39091,3703,4761.132278,7.142436605,1156,752,1419.32438,963.1486486,6.189552686,5.327930759,0.335263108,0.282594371,3.36
552AO,552,Tailrace,19.02.20,Reference,A,O,575,923.30,12.19,472.87,3,2,6.66,2,3,5,2,4,4,4,2,65,4,1,1.7,38,6.8,3,4,66.49038462,45.63432836,32.09302326,30,0,0,0,0,0,0,0,2.5,0,0,1.78,1.12,1.38,5.32,0.243211294,21.87398415,15.93843548,5.03,20.4,25.55108842,3.561303598,6.21259575,4.384721477,1.401026423,1.09278151,0.313040667,0.617276639,0.092258414,240,22,14,4,23,18,0.07,3,6,0,0,0,0,52.7,335.4,118.4,178.9,703.4,46.2,11.1,0.350833333,0.60642966,0.550097698,0.690427706,0.674231723,0.796908444,0.710044349,0.666297652,0.480274158,0.687509316,21421,456,523.686747,3.856110618,1,29,1,8,11,1,33.9,1,9,14,0,0.832890623,0,1.84948685,1.107535103,0.000143349,0.141485092,0.000143349,0.002723624,0.015768349,43940,2396,3133.355381,6.346443983,575,544,740.765625,687.0059524,4.70201048,5.269767591,0.279252565,0.292337381,13.6
552AT,552,Tailrace,19.02.20,Reference,A,T,575,923.30,12.19,472.87,2,2,6.66,0,0,0,0,3,3,2,2,75,4,1.5,1.7,33,10.2,3,2,63.04054054,48.10483871,36.41025641,10,0,0,0,15,15,55,0,0,15,70,1.39,0.7,0.86,3.5,0.228137505,15.34162477,10.75328668,5.78,15.96,23.50702706,3.57615183,5.985872317,3.435644195,1.489108135,1.009806466,0.229012811,0.785053734,0.089796637,337,60,79,0.1,71,35,2,1,30,3,3,12,12,35.6,193.8,72.3,106.2,399.8,31.9,37.1,0.350833333,0.692796,0.795178511,0.916251344,0.961902947,1.015358952,0.944252332,0.872248531,0.52139747,0.671232827,36484,631,769.0166667,4.29650523,8,50,1,14,12,8,66,1,15,12.25,1.89459351,1.58899461,0,2.399142053,2.007543478,0.005232225,0.248924885,0.000143349,0.004515482,0.012184633,39739,3668,4835.724801,7.010598529,936,854,1231.56044,1118.306962,5.659180535,5.731370793,0.295255578,0.284806552,11.49
552BO,552,Tailrace,19.02.20,Reference,B,O,575,923.30,12.19,472.87,2,2,6.66,0,0,0,0,4,4,4,2,65,4,1,1.7,34,6.8,3,9,69.7972973,41.25,27.69230769,35,0,0,0,0,0,0,0,2.5,0,0,1.32,0.63,0.77,3.32,0.225107887,14.74848372,12.35106307,5.79,25.5,39.0392976,5.31034467,9.214687794,5.716442803,2.441874507,2.841071269,0.923279888,1.277486107,0.163835769,161,39,35,6,30,24,0.8,2,14,0,0,0,0,2.4,13.9,1.5,17.7,73.8,1.3,154,0.350833333,0.723900105,0.855708435,0.93603963,0.944878646,0.987717424,0.974804309,0.821657652,0.66833527,0.831836831,31678,594,796.4402174,3.934175523,3,37,0,13,6,3,42.78571429,0,21.16666667,8,1.028183859,1.24905765,0,1.362309124,1.697733591,0.000860092,0.375573394,0,0.005017202,0.000931766,42158,3817,4961.487101,7.061785943,990,852,1279,1123.290323,5.923609169,5.617337328,0.274122188,0.298173774,11.83
552BT,552,Tailrace,19.02.20,Reference,B,T,575,923.30,12.19,472.87,2,2,6.66,0,0,0,0,4,4,4,2,55,4,1.5,1.7,48,10.2,3,8,69.7972973,48.10483871,36.41025641,45,0,0,0,0,60,75,0,0,0,135,1.4,0.75,0.94,3.87,0.219349135,17.64310579,15.2645692,5.52,33.1,35.1735098,4.919998756,9.45697292,5.094794258,2.006487267,1.576994038,0.474247035,0.980689474,0.091795369,249,176,20,2,38,15,0.43,1,5,0,0,0,0,86.8,119.5,24,259.1,281.6,22.1,26.6,0.350833333,0.457884151,0.58287368,0.720832645,0.730518843,0.749808956,0.61688591,0.629153541,0.568968727,0.583194362,24501,488,578.8430233,4.118765249,0,34,1,10,2,0,40,1,18,2,0,1.71495748,0,2.104744605,0.376770161,0,0.275301032,0.001576835,0.002006881,0.000573394,40502,2906,3818.408759,6.695011784,723,687,941.7,877.2606838,5.398991898,5.433656293,0.26452038,0.315682952,7.93
552CO,552,Tailrace,19.02.20,Reference,C,O,575,923.30,12.19,472.87,2,2,6.66,0,0,0,0,4,4,3,1,70,4,1.5,1.7,46,10.2,3,5,69.7972973,46.08870968,33.84615385,30,0,0,0,0,15,30,0,1,0,45,1.14,0.45,0.73,2.99,0.202601735,14.75801775,8.849801582,5.94,17.64,35.42188874,5.273343671,8.028366928,5.152312611,2.395338398,2.083006398,0.846013359,1.090305761,0.131210386,317,104,128,0.1,51,20,0.78,1,10,0,0,0,0,81.6,110.4,26.5,233.1,252.8,24.8,156.9,0.391666667,0.654168014,0.704029119,0.77954524,0.746686972,0.810038013,0.674748546,0.731221561,0.50474541,0.766144095,36813,616,806.0206186,4.260918643,1,56,3,14,11,1,59.2,4,16.08333333,29,0,2.484465736,0.683738906,2.293593376,0.130235541,7.16743E-05,0.11983945,0.000645069,0.00265195,0.10887328,50236,3846,5160.877204,7.084571676,964,820,1223.962264,1073.775168,5.84079215,5.71190979,0.263296621,0.290925351,6.72
552CT,552,Tailrace,19.02.20,Reference,C,T,575,923.30,12.19,472.87,2,2,6.66,0,0,0,0,4,4,4,2,60,4,1.5,2,35,12,3,7,69.7972973,51.73387097,41.02564103,30,10,0,0,0,5,50,0,0,0,55,1.31,0.68,0.93,3.63,0.216636702,16.75616354,12.58489486,5.48,20.4,32.68050598,3.636643222,8.121102096,5.713884913,1.396512537,3.313739527,0.476434816,0.633121141,0.229649964,526,128,142,2,75,31,5,4,72,2,2,8,8,25.3,181.9,72.6,150,485.5,39.5,24.2,0.343541667,0.763608966,0.876053596,0.936015307,0.995717105,1.061690505,1.012688818,0.882812226,0.683540062,0.762025903,29967,501,661.1052632,4.119247396,0,50,0,9,7,0,65.125,0,9.666666667,8,0,2.134540782,0,1.831219843,1.41520316,0,0.381020642,0,0.002938647,0.006379014,34548,2731,3427.045694,6.424615212,676,634,800.0632911,805.5728155,4.892005552,5.541643493,0.332015438,0.249223383,11.09
